Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3,,
1,540,-300,-550,-,-,-,,
2,700,590,-400,-,-,-,,
3,1300,1250,-100,-,-,-,,
4,900,-540,-810,1100,220,-1100,,
5,290,-270,-150,-,-,-,,
6,1970,-100,-1940,-,-,-,,
7,620,-440,-450,1500,1100,-1300,,
8,600,570,-300,-,-,-,,
9,700,-150,-750,-,-,-,,
10,420,-340,-400,-,-,-,,
11,500,-240,520,-,-,-,,
12,340,-120,-340,-,-,-,,
13,450,370,420,-,-,-,,
14,1440,-1100,-900,-,-,-,,
15,130,-100,-110,-,-,-,,
16,310,200,300,-,-,-,,
17,340,270,300,-,-,-,,
18,820,810,-200,-,-,-,,
19,370,-200,-330,1050,600,-1300,,
20,900,-800,-500,-,-,-,,
21,1500,1450,-700,-,-,-,,
22,470,-380,-300,2000,1000,-1800,,
23,0,0,0,-,-,-,,
24,690,-310,-700,250,-130,240,,
25,180,-130,30,370,-380,-140,,
26,1600,-1250,-1210,-,-,-,,
27,150,-90,-130,1400,1300,-1800,,
28,940,950,210,-,-,-,,
29,0,0,0,1730,1500,-1500,,
30,440,-130,-400,-,-,-,,
31,310,250,-340,520,200,-554,,
32,130,0,-130,-,-,-,,
33,490,210,400,600,200,-610,,
34,820,-810,-230,-,-,-,,last homing mark is redundant (I clicked twice)
35,0,0,0,0,0,0,,
36,0,0,0,0,0,0,,
