"trial_type"
"14.0"
"10.0"
"14.0"
"8.0"
"9.0"
"12.0"
"6.0"
"5.0"
"9.0"
"12.0"
"14.0"
"5.0"
"10.0"
"13.0"
"6.0"
"11.0"
"5.0"
"11.0"
"13.0"
"7.0"
"5.0"
"6.0"
"13.0"
"6.0"
"6.0"
"9.0"
"10.0"
"7.0"
"8.0"
"8.0"
"11.0"
"12.0"
"7.0"
"5.0"
"1.0"
"2.0"
