Index,trialType,trial Number,Dist,trialTypeInd
1,WiaSL ECL With Sound,5,NULL,5
2,WiaSL ECL With Sound,8,NULL,5
3,WiaSL ECL With Sound,9,NULL,5
4,WiaSL ECL With Sound,12,NULL,5
5,WiaSL ECL With Sound,30,NULL,5
1,WiaSL ECL No Sound,0,NULL,6
2,WiaSL ECL No Sound,3,NULL,6
3,WiaSL ECL No Sound,27,NULL,6
4,WiaSL ECL No Sound,28,NULL,6
5,WiaSL ECL No Sound,33,NULL,6
