"trial_type"
"6.0"
"9.0"
"8.0"
"6.0"
"7.0"
"5.0"
"12.0"
"14.0"
"5.0"
"5.0"
"11.0"
"13.0"
"5.0"
"14.0"
"7.0"
"10.0"
"9.0"
"8.0"
"11.0"
"7.0"
"13.0"
"10.0"
"8.0"
"12.0"
"11.0"
"14.0"
"10.0"
"6.0"
"6.0"
"13.0"
"5.0"
"12.0"
"9.0"
"6.0"
"1.0"
"2.0"
