Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3,,
1,1100,250,-1000,-,-,-,,
2,300,-200,-240,690,250,-650,,
3,1300,-1330,-250,-,-,-,,
4,2800,2600,-1300,-,-,-,,
5,400,-340,200,-,-,-,,
6,1100,-250,-1300,-,-,-,,
7,200,150,200,-,-,-,,
8,800,840,250,-,-,-,,
9,1800,1500,-1100,-,-,-,,
10,2000,1990,-200,-,-,-,,
11,2800,2600,-1200,-,-,-,,
12,2500,-2100,-1400,-,-,-,,
13,1340,900,1000,-,-,-,,
14,500,-400,-350,-,-,-,,
15,1200,1100,-700,-,-,-,,
16,340,360,-100,1100,450,-1000,,
17,280,200,-100,670,-660,350,,
18,430,-200,350,600,-550,-300,,
19,500,-100,-500,-,-,-,,
20,1700,-1660,-400,-,-,-,,
21,260,-150,100,800,-810,-250,,
22,500,400,450,350,300,200,,
23,1900,-1900,-200,-,-,-,,
24,1900,1300,-1400,-,-,-,,
25,1900,-1100,-1600,-,-,-,,
26,3500,2000,-2800,-,-,-,,
27,1000,980,-300,-,-,-,,
28,500,500,-250,550,-250,500,,
29,900,750,600,1300,1200,-800,,
30,400,300,310,400,400,-200,,
31,1550,-100,-1570,-,-,-,,
32,600,-550,-100,-,-,-,,
33,3400,3500,-1300,700,-400,750,,Don't use this trial
34,1800,1700,-1100,-,-,-,,
35,0,0,0,0,0,0,,
36,0,0,0,0,0,0,,
