Index,trialType,trial Number,Dist,trialTypeInd
1,WiaSL ECL With Sound,3,NULL,5
2,WiaSL ECL With Sound,7,NULL,5
3,WiaSL ECL With Sound,19,NULL,5
4,WiaSL ECL With Sound,23,NULL,5
5,WiaSL ECL With Sound,24,NULL,5
1,WiaSL ECL No Sound,2,NULL,6
2,WiaSL ECL No Sound,6,NULL,6
3,WiaSL ECL No Sound,11,NULL,6
4,WiaSL ECL No Sound,17,NULL,6
5,WiaSL ECL No Sound,26,NULL,6
