"diff"
"13.6"
"21.0"
"31.0"
"27.8"
"-40.4"
"13.0"
"-5.2"
"-0.6"
"-15.5"
"-14.6"
"45.2"
"6.4"
"-4.0"
"11.0"
"-130.2"
"41.9"
"53.6"
"44.6"
"-14.940000000000001"
"52.4"
"-7.4"
"17.279999999999994"
"-8.0"
"14.6"
"-8.0"
"5.8"
"13.0"
"25.0"
"66.0"
"20.4"
"-41.6"
"44.65"
"8.4"
"29.6"
"-19.4"
