"diff"
"17.0"
"32.0"
"-88.0"
"-69.4"
"52.4"
"-47.2"
"-24.2"
"-61.2"
"-9.6"
"-13.4"
"-2.2"
"82.8"
"129.6"
"96.2"
"26.6"
"48.2"
"53.2"
"-48.0"
"-63.0"
"-47.2"
"-36.6"
"8.6"
"-20.4"
"50.0"
"38.6"
"-37.4"
"-82.0"
"-14.2"
"125.2"
"-62.8"
"-0.8"
"67.95"
"-30.0"
"50.0"
"-40.6"
