"diff"
"-19.4"
"-11.0"
"-17.6"
"-60.0"
"-15.4"
"11.4"
"-21.4"
"49.2"
"0.5"
"12.0"
"-12.0"
"-11.2"
"59.2"
"-1.6"
"-46.6"
"10.6"
"9.2"
"13.8"
"5.859999999999999"
"4.4"
"-4.0"
"-8.2"
"7.0"
"9.2"
"-8.6"
"13.2"
"-10.0"
"-7.2"
"-20.6"
"-26.4"
"-2.6"
"-19.2"
"-6.8"
"-60.8"
"19.2"
