Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3,,
1,4100,-2300,3400,-,-,-,,
2,400,-50,-380,-,-,-,,
3,700,680,150,-,-,-,,
4,1100,1000,550,-,-,-,,
5,2300,1600,1700,-,-,-,,
6,900,800,600,-,-,-,,
7,1400,1300,600,-,-,-,,
8,900,230,820,-,-,-,,
9,1800,700,-1600,-,-,-,,
10,800,820,-100,-,-,-,,
11,810,-200,-800,-,-,-,,
12,1000,650,720,-,-,-,,
13,740,620,500,2500,-1200,-2200,,
14,1600,1550,-400,-,-,-,,
15,940,400,800,2750,-2680,-600,,
16,1500,1520,-400,-,-,-,,
17,1300,-850,-1100,-,-,-,,
18,3100,-900,3050,-,-,-,,
19,300,-380,-300,-,-,-,,
20,500,-300,-510,2200,-2070,-100,,
21,2100,1300,-1800,-,-,-,,
22,400,-250,-400,2100,-2000,700,,
23,1500,650,-1510,-,-,-,,
24,250,0,250,2100,-1900,800,,
25,840,140,-890,2400,-2300,400,,"pressed homing mark by mistake (along with wiasl mark), so disregard homing mark number 21"
26,1000,0,-1000,1600,-1500,700,,
27,1250,-250,-1290,500,450,-350,,
28,1860,400,-1760,-,-,-,,
29,2500,2200,1300,-,-,-,,
30,1400,-700,-1200,-,-,-,,
31,1250,100,-1200,-,-,-,,
32,1500,-140,-1480,1400,-1300,700,,
33,600,500,-450,2200,-1900,600,,
34,1000,-150,-980,-,-,-,,
35,0,0,0,50,0,50,,
36,0,0,0,0,0,0,,
