Index,trialType,trial Number,Dist,trialTypeInd
1,WiaSL ECL With Sound,17,NULL,5
2,WiaSL ECL With Sound,26,NULL,5
3,WiaSL ECL With Sound,27,NULL,5
4,WiaSL ECL With Sound,38,NULL,5
5,WiaSL ECL With Sound,39,NULL,5
1,WiaSL ECL No Sound,3,NULL,6
2,WiaSL ECL No Sound,6,NULL,6
3,WiaSL ECL No Sound,13,NULL,6
4,WiaSL ECL No Sound,25,NULL,6
5,WiaSL ECL No Sound,37,NULL,6
