0,1.2955,1.542,-4.0805
0.001,1.5005,0.9315,-3.703
0.002,1.7165,1.084,-3.595
0.003,1.479,0.6105,-4.4585
0.004,0.432,1.084,-4.923
0.005,0.421,1.5725,-3.228
0.006,1.0365,1.1605,-2.5695
0.007,0.68,0.733,-2.796
0.008,0.324,1.13,-4.0805
0.009,0.2375,0.748,-4.34
0.01,0.518,0.6105,-3.5625
0.011,1.317,0.7025,-2.7635
0.012,2.0835,1.0685,-2.6235
0.013,1.263,0.809,-3.5515
0.014,0.259,0.1525,-4.124
0.015,0.594,0.8245,-3.6595
0.016,0.95,1.0535,-3.3465
0.017,1.2305,1.1605,-2.85
0.018,0.432,1.3895,-2.8285
0.019,0.119,1.3435,-3.6165
0.02,0.3025,1.435,-3.282
0.021,1.1985,0.977,-3.314
0.022,1.1225,1.0535,-4.124
0.023,0.799,1.5265,-5.0955
0.024,0.5075,1.4655,-4.7825
0.025,0.691,0.8855,-3.735
0.026,0.8205,0.7635,-3.39
0.027,1.166,0.641,-3.584
0.028,1.382,0.977,-4.124
0.029,1.468,1.359,-3.7785
0.03,0.529,2.122,-4.545
0.031,0.1725,1.1755,-4.8365
0.032,1.047,0.733,-4.264
0.033,1.4035,1.023,-3.6705
0.034,1.414,1.374,-3.487
0.035,1.166,1.42,-3.757
0.036,0.961,1.2215,-3.962
0.037,0.4965,0.8245,-3.7785
0.038,0.896,0.9465,-3.7675
0.039,0.95,1.2825,-3.368
0.04,0.594,1.4505,-4.1345
0.041,0.745,1.725,-4.3505
0.042,1.576,1.191,-3.3035
0.043,1.8245,0.519,-3.012
0.044,1.414,0.458,-3.487
0.045,1.414,1.023,-3.8325
0.046,1.328,0.794,-4.0915
0.047,1.0795,0.8855,-4.1025
0.048,1.209,1.267,-3.26
0.049,0.9715,1.374,-3.9725
0.05,0.5505,0.4885,-4.264
0.051,1.0255,0.5495,-3.228
0.052,1.3065,1.6185,-3.897
0.053,0.745,1.13,-4.0265
0.054,1.317,1.542,-4.059
0.055,1.1445,1.6185,-4.0805
0.056,0.626,1.832,-3.8
0.057,0.5615,1.3435,-2.807
0.058,0.885,1.1605,-2.742
0.059,1.328,1.084,-3.1415
0.06,1.3385,1.0685,-2.7635
0.061,1.004,1.1605,-2.4075
0.062,0.8745,1.359,-2.9905
0.063,1.371,0.9925,-2.861
0.064,1.738,1.2365,-2.7095
0.065,1.911,1.145,-2.2995
