"trial_type"
"8.0"
"6.0"
"6.0"
"9.0"
"5.0"
"5.0"
"8.0"
"9.0"
"13.0"
"9.0"
"12.0"
"14.0"
"7.0"
"10.0"
"13.0"
"11.0"
"6.0"
"5.0"
"5.0"
"11.0"
"8.0"
"6.0"
"12.0"
"7.0"
"11.0"
"7.0"
"14.0"
"5.0"
"12.0"
"14.0"
"10.0"
"10.0"
"6.0"
"13.0"
"1.0"
"2.0"
