Index,trialType,trial Number,Dist,trialTypeInd
1,WiaSL ECL With Sound,10,NULL,5
2,WiaSL ECL With Sound,15,NULL,5
3,WiaSL ECL With Sound,26,NULL,5
4,WiaSL ECL With Sound,33,NULL,5
5,WiaSL ECL With Sound,38,NULL,5
1,WiaSL ECL No Sound,3,NULL,6
2,WiaSL ECL No Sound,21,NULL,6
3,WiaSL ECL No Sound,22,NULL,6
4,WiaSL ECL No Sound,28,NULL,6
5,WiaSL ECL No Sound,32,NULL,6
