"With sound","Without sound"
"15.239837409444657","9.60143989397668"
"7.409722207699234","8.440115360421624"
"11.648350010137152","6.610029904520211"
"5.986154587056521","6.361385346471695"
"4.559256671618204","3.851941382941683"
"3.8030080356648157","3.931225890598756"
"6.048749350988876","7.534671521834499"
"5.232676460018419","5.971448788866579"
"6.367039258452008","5.692619317397258"
"5.891190814456236","5.1486390801055215"
"7.619565306934301","8.512525853475385"
"3.6712974111042684","4.506210809351583"
"8.512377803645728","8.09914528731657"
"6.20209420907655","5.793224688274697"
"7.810698773173327","9.140049049642773"
"8.058039603869602","6.14436816002886"
"8.980551714169026","10.245510072684748"
"5.87592470413224","6.2267033070692595"
"10.063608300484784","10.42470913111664"
"7.652785994309386","8.547946269801628"
"10.856877006005025","7.992157650440592"
"5.861279869891468","6.005311013818679"
"6.827374711913802","7.225939087524585"
"7.016614992694604","7.972587492552793"
"5.026165149660557","5.248153165924078"
"5.732677979767815","4.842389609167965"
"6.172927128937989","6.413305110079271"
"4.641872727666043","4.7369613434728395"
"8.710213757149294","8.730843227013692"
