"With sound","Without sound"
"-66.66666666666666","-9.5"
"-84.91666666666666","-65.41666666666666"
"-124.41666666666667","-81.16666666666666"
"-178.75","-142.91666666666669"
"-153.25","-138.08333333333331"
"-61.25","-50.75"
"-65.5","-66.16666666666666"
"-107.0","-119.25"
"-67.66666666666666","-75.0"
"-109.08333333333333","-129.5"
"-183.5","-145.16666666666669"
"-41.91666666666667","-56.25"
"-93.25","-97.83333333333334"
"-47.5","-33.66666666666667"
"4.083333333333334","28.083333333333332"
"-60.916666666666664","-57.416666666666664"
"-79.0","-80.83333333333334"
"-68.5","-92.0"
"-100.16666666666666","-36.33333333333333"
"-130.83333333333331","-128.75"
"-157.33333333333331","-133.41666666666669"
"-43.16666666666667","-19.833333333333336"
"-71.66666666666666","-36.08333333333333"
"-90.25","-68.75"
"19.833333333333336","-41.5"
"-12.25","30.5"
"-17.166666666666664","11.833333333333332"
"-31.416666666666668","-23.416666666666664"
"-52.416666666666664","-54.083333333333336"
"-7.416666666666667","-4.5"
"-13.333333333333334","-53.25"
"28.333333333333332","12.583333333333332"
"-82.5","-47.0"
"-74.25","30.833333333333332"
"-28.75","-36.66666666666667"
