"With sound","Without sound"
"2.083333333333333","10.833333333333332"
"-36.66666666666667","-9.583333333333332"
"-16.083333333333336","-33.33333333333333"
"-144.16666666666669","-211.66666666666666"
"-6.25","-22.0"
"-15.416666666666666","-2.416666666666667"
"-16.75","-26.666666666666668"
"-95.83333333333334","-95.33333333333334"
"52.833333333333336","14.5"
"-22.916666666666664","-25.0"
"-20.916666666666664","-17.5"
"-48.33333333333333","-44.5"
"-70.33333333333334","-91.66666666666666"
"28.5","12.583333333333332"
"6.833333333333333","27.5"
"-7.25","-31.333333333333332"
"-26.81818181818182","-17.0"
"-9.416666666666668","-9.5"
"-116.5","-8.75"
"38.5","21.583333333333336"
"9.0","-26.833333333333332"
"27.25","-21.0"
"-37.83333333333333","-28.166666666666668"
"-16.25","-13.25"
"31.583333333333332","19.5"
"18.333333333333336","10.333333333333332"
"53.083333333333336","30.0"
"-3.166666666666667","-20.0"
"-20.833333333333336","31.75"
"-61.333333333333336","26.5"
"1.1666666666666665","-9.25"
"-5.25","-19.75"
"-16.416666666666664","6.833333333333333"
"-6.5","1.9166666666666667"
"-43.08333333333333","-75.91666666666666"
