Index,trialType,trial Number,Dist,trialTypeInd
1,WiaSL ECL With Sound,1,NULL,5
2,WiaSL ECL With Sound,7,NULL,5
3,WiaSL ECL With Sound,13,NULL,5
4,WiaSL ECL With Sound,15,NULL,5
5,WiaSL ECL With Sound,22,NULL,5
1,WiaSL ECL No Sound,12,NULL,6
2,WiaSL ECL No Sound,14,NULL,6
3,WiaSL ECL No Sound,23,NULL,6
4,WiaSL ECL No Sound,26,NULL,6
5,WiaSL ECL No Sound,27,NULL,6
