Index,trialType,trial Number,Dist,trialTypeInd
1,WiaSL ECL With Sound,8,NULL,5
2,WiaSL ECL With Sound,12,NULL,5
3,WiaSL ECL With Sound,31,NULL,5
4,WiaSL ECL With Sound,34,NULL,5
5,WiaSL ECL With Sound,35,NULL,5
1,WiaSL ECL No Sound,2,NULL,6
2,WiaSL ECL No Sound,3,NULL,6
3,WiaSL ECL No Sound,6,NULL,6
4,WiaSL ECL No Sound,28,NULL,6
5,WiaSL ECL No Sound,45,NULL,6
