Index,trialType,trial Number,Dist,trialTypeInd
1,WiaSL ECL With Sound,3,NULL,5
2,WiaSL ECL With Sound,17,NULL,5
3,WiaSL ECL With Sound,24,NULL,5
4,WiaSL ECL With Sound,29,NULL,5
5,WiaSL ECL With Sound,33,NULL,5
1,WiaSL ECL No Sound,0,NULL,6
2,WiaSL ECL No Sound,6,NULL,6
3,WiaSL ECL No Sound,9,NULL,6
4,WiaSL ECL No Sound,10,NULL,6
5,WiaSL ECL No Sound,18,NULL,6
