Trial Number,Error 1 - Diagonal Distance,Error 2 - Horizontal Distance,Error 3 - Vertical Distance,Backwards Error 1,Backwards Error 2,Backwards Error 3,,
1,410,-420,-200,-,-,-,,
2,790,-700,-600,-,-,-,,
3,290,-200,210,1710,-1700,450,,
4,1060,-300,1080,1840,-800,-1750,,
5,2610,2400,-1620,-,-,-,,
6,1560,-1400,-1180,-,-,-,,
7,1940,1930,-600,-,-,-,,
8,900,-870,-800,-,-,-,,
9,870,-880,-330,3270,350,-3260,,
10,770,-330,-700,-,-,-,,
11,500,-490,-160,-,-,-,,
12,1040,450,-1370,-,-,-,,
13,1060,-1020,-1470,-,-,-,,
14,1900,1830,-760,-,-,-,,
15,600,-210,-590,1070,700,-1100,,
16,730,-740,120,2150,-1850,-1600,,
17,1120,-490,-1060,-,-,-,,
18,650,-260,-620,-,-,-,,
19,2010,-2000,-1500,-,-,-,,
20,2400,-2200,-1230,-,-,-,,
21,1300,-1290,240,-,-,-,,
22,2650,2300,-1100,-,-,-,,
23,150,-120,-70,920,200,-900,,
24,590,-280,-560,1630,1000,-1440,,
25,640,-230,-620,1300,-1100,-1000,,
26,520,290,-500,-,-,-,,sound cable nutak - don't use this trial
27,1500,-1800,-860,-,-,-,,
28,490,-240,-460,-,-,-,,
29,900,-200,-880,1090,-800,-1800,,ended trial before backward
30,900,120,-940,450,-440,-100,,first wiasl mark is number 2 and the second is 1 (the next 2 is redundant)
31,790,-110,-780,-,-,-,,
32,640,650,-360,-,-,-,,
33,1010,-300,-1000,-,-,-,,
34,700,-630,-200,-,-,-,,
35,0,0,0,0,0,0,,
36,0,0,0,0,0,0,,
